ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Meta: _yoast_wpseo_content_score
914,variation,BL1W6D4MA6/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2628,,,,,,,id:242,,,,,,35,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
932,variation,BL1W6D4MA6/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,2988,,,,,,,id:242,,,,,,53,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,1 week,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
889,variation,BL2W5D2MA3/15,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3330,,,,,,,id:242,,,,,,10,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
907,variation,BL2W5D2MA5/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3880,,,,,,,id:242,,,,,,28,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
925,variation,BL2W5D2MA5/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3880,,,,,,,id:242,,,,,,46,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
891,variation,BL2W5D3MA4/15,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4080,,,,,,,id:242,,,,,,12,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
909,variation,BL2W5D3MA6/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4780,,,,,,,id:242,,,,,,30,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
927,variation,BL2W5D3MA6/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5380,,,,,,,id:242,,,,,,48,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
890,variation,BL2W5D4MA3/15,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3680,,,,,,,id:242,,,,,,11,Number of Calories,1500,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
908,variation,BL2W5D4MA9/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4380,,,,,,,id:242,,,,,,29,Number of Calories,1800,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
926,variation,BL2W5D4MA9/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4980,,,,,,,id:242,,,,,,47,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
898,variation,BL2W6D2MA3/15,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3996,,,,,,,id:242,,,,,,19,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
916,variation,BL2W6D2MA7/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4656,,,,,,,id:242,,,,,,37,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
934,variation,BL2W6D2MA7/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5376,,,,,,,id:242,,,,,,55,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
900,variation,BL2W6D3MA4/15,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,4896,,,,,,,id:242,,,,,,21,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
918,variation,BL2W6D3MA8/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5736,,,,,,,id:242,,,,,,39,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
936,variation,BL2W6D3MA8/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6456,,,,,,,id:242,,,,,,3,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
917,variation,BL2W6D4MA10/18,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5256,,,,,,,id:242,,,,,,38,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
935,variation,BL2W6D4MA10/22,Balanced Living,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5976,,,,,,,id:242,,,,,,56,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,2 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
