,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: _product_addons_exclude_global,Meta: _wpml_word_count,Meta: _wpml_media_duplicate,Meta: _wpml_media_featured,Meta: _wpml_media_has_media,Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 4 default,Meta: _yoast_wpseo_content_score
PA3W5D4MA60/22,746,variation,PA3W5D4MA60/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7995,,,,,,,id:246,,,,,,12,Number of Calories,2200,,1,Number of days a week,5 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D2MA58/12,700,variation,PA3W6D2MA58/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,5904,,,,,,,id:246,,,,,,38,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/15,718,variation,PA3W6D2MA58/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6624,,,,,,,id:246,,,,,,56,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/18,736,variation,PA3W6D2MA58/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7614,,,,,,,id:246,,,,,,2,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D2MA58/22,754,variation,PA3W6D2MA58/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8694,,,,,,,id:246,,,,,,20,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Breakfast &amp; Lunch,,1,,,,,,,,,,
PA3W6D3MA59/12,702,variation,PA3W6D3MA59/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7254,,,,,,,id:246,,,,,,40,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/15,720,variation,PA3W6D3MA59/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7974,,,,,,,id:246,,,,,,58,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/18,738,variation,PA3W6D3MA59/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,9234,,,,,,,id:246,,,,,,4,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D3MA59/22,756,variation,PA3W6D3MA59/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,10314,,,,,,,id:246,,,,,,22,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Full Day,,1,,,,,,,,,,
PA3W6D4MA61/12,701,variation,PA3W6D4MA61/12,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,6174,,,,,,,id:246,,,,,,39,Number of Calories,1200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/15,719,variation,PA3W6D4MA61/15,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,7254,,,,,,,id:246,,,,,,57,Number of Calories,1500,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/18,737,variation,PA3W6D4MA61/18,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,8514,,,,,,,id:246,,,,,,3,Number of Calories,1800,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
PA3W6D4MA61/22,755,variation,PA3W6D4MA61/22,Paleo,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,9594,,,,,,,id:246,,,,,,21,Number of Calories,2200,,1,Number of days a week,6 days,,1,Duration,3 weeks,,1,Selected Meals (2 snacks included),Lunch &amp; Dinner,,1,,,,,,,,,,
