id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
AP1W6D2MA58/15_1127,"Asian","Number of Calories: 1500, Meals: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2028HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2028HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1500,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Breakfast &amp; Lunch,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP1W6D3MA61/15_1128,"Asian","Number of Calories: 1500, Meals: Full Day, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2448HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2448HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1500,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Full Day,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP1W6D4MA59/15_1129,"Asian","Number of Calories: 1500, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1500&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2208HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2208HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1500,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP1W6D2MA58/18_1130,"Asian","Number of Calories: 1800, Meals: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2328HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2328HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1800,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Breakfast &amp; Lunch,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP1W6D3MA59/18_1131,"Asian","Number of Calories: 1800, Meals: Full Day, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2868HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2868HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1800,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Full Day,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP1W6D4MA61/18_1132,"Asian","Number of Calories: 1800, Meals: Lunch & Dinner, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1800&attribute_pa_meals=lunch-dinner&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",2628HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2628HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1800,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:1 week,days:5 days/6 days:6 days"
AP2W5D2MA56/12_1133,"Asian","Number of Calories: 1200, Meals: Breakfast & Lunch, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Lifestyle","Eatology",3030HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3030HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Breakfast &amp; Lunch,duration:1 week/2 weeks/3 weeks:2 weeks,days:5 days/6 days:5 days"
AP2W5D3MA57/12_1134,"Asian","Number of Calories: 1200, Meals: Full Day, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Lifestyle","Eatology",3680HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3680HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Full Day,duration:1 week/2 weeks/3 weeks:2 weeks,days:5 days/6 days:5 days"
AP2W5D4MA60/12_1135,"Asian","Number of Calories: 1200, Meals: Lunch & Dinner, Duration: 2 weeks, Number of days a week: 5 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"Lifestyle","Eatology",3230HKD,in stock,AP_244,,"http://localhost/wp-content/uploads/2020/01/eatology_lemongrass_lime_prawn_skewer.jpg,http://localhost/wp-content/uploads/2020/01/Japanese_Gyoza_Rose.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3230HKD,new,published,,,,,,,"calories:1200/1500/1800/2200:1200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Lunch &amp; Dinner,duration:1 week/2 weeks/3 weeks:2 weeks,days:5 days/6 days:5 days"
AP1W6D2MA58/12_2183,"亞洲風味","Number of Calories: 1200, Meals: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",http://localhost/wp-content/uploads/2020/01/meal-plan-aisan.jpg,http://localhost/zh-hant/meal-plans/asian/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"Lifestyle","Eatology",1818HKD,in stock,AP_2173,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1818HKD,new,staging,,,,,,,"calories:1200/1500/1800/2200:1200,meals:full-day/三餐及兩份小食/午、晚餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
