id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
BL2W5D2MA3/12_3285,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Breakfast & Lunch, Duration: 2 weeks, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"健康計劃","Eatology",2930HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3285&attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,2930HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:2 weeks,days:5-days/6天:5 days"
BL2W5D3MA3/12_3286,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Full Day, Duration: 2 weeks, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"健康計劃","Eatology",3680HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3286&attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3680HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:2 weeks,days:5-days/6天:5 days"
BL2W5D4MA3/12_3287,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Lunch & Dinner, Duration: 2 weeks, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,"健康計劃","Eatology",3230HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3287&attribute_pa_calories=1200&attribute_pa_meals=lunch-dinner&attribute_pa_duration=2-weeks&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,3230HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Lunch &amp; Dinner,duration:1-week/2 星期/3 星期:2 weeks,days:5-days/6天:5 days"
BL3W5D2MA3/12_3288,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Breakfast & Lunch, Duration: 3 weeks, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,"健康計劃","Eatology",4395HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3288&attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,4395HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:5 days"
BL3W5D3MA3/12_3289,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Full Day, Duration: 3 weeks, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,"健康計劃","Eatology",5520HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3289&attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=3-weeks&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5520HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:3 weeks,days:5-days/6天:5 days"
BL1W6D2MA3/12_3290,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Breakfast & Lunch, Duration: 1 week, Number of days a week: 6 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,"健康計劃","Eatology",1758HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3290&attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=6-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1758HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:6 days"
BL1W5D2MA3/12_3283,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Breakfast & Lunch, Duration: 1 week, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=5-days,"健康計劃","Eatology",1465HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3283&attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=1-week&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1465HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Breakfast &amp; Lunch,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:5 days"
BL1W5D3MA3/12_3284,"均衡膳食計劃","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Full Day, Duration: 1 week, Number of days a week: 5 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living.png,https://www.eatologyasia.com/zh/meal-plan/%e5%9d%87%e8%a1%a1%e8%86%b3%e9%a3%9f%e8%a8%88%e5%8a%83/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=5-days,"健康計劃","Eatology",1840HKD,in stock,wc_post_id_3226,https://www.eatologyasia.com/cart/?add-to-cart=3226&variation_id=3284&attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=1-week&attribute_pa_days=5-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1840HKD,new,staging,,"calories:1200/1800/2200/1200:1200,meals:full-day/午、晚餐及兩份小食/三餐及兩份小食:Full Day,duration:1-week/2 星期/3 星期:1 week,days:5-days/6天:5 days"
BL3W6D2MA3/12_1374,"Mediterranean","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Breakfast & Lunch, Duration: 3 weeks, Number of days a week: 6 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living-1.jpg,https://www.eatologyasia.com/meal-plan/mediterranean/?attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,"Healthy","Eatology",5274HKD,in stock,wc_post_id_242,https://www.eatologyasia.com/cart/?add-to-cart=242&variation_id=1374&attribute_pa_calories=1200&attribute_pa_meals=breakfast-lunch&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,5274HKD,new,published,,"calories:1200/1500/1800/2200:1200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Breakfast &amp; Lunch,duration:1 week/2 weeks/3 weeks:3 weeks,days:5 days/6 days:6 days"
BL3W6D3MA3/12_1375,"Mediterranean","Number of Calories: 1200, Selected Meals (2 snacks included) - 1200 * calories is 1 snack only: Full Day, Duration: 3 weeks, Number of days a week: 6 days",https://www.eatologyasia.com/wp-content/uploads/2020/04/meal-plan-diabetes-friendly-balanced-living-1.jpg,https://www.eatologyasia.com/meal-plan/mediterranean/?attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,"Healthy","Eatology",6624HKD,in stock,wc_post_id_242,https://www.eatologyasia.com/cart/?add-to-cart=242&variation_id=1375&attribute_pa_calories=1200&attribute_pa_meals=full-day&attribute_pa_duration=3-weeks&attribute_pa_days=6-days,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6624HKD,new,published,,"calories:1200/1500/1800/2200:1200,meals:Full Day/Breakfast &amp; Lunch/Lunch &amp; Dinner:Full Day,duration:1 week/2 weeks/3 weeks:3 weeks,days:5 days/6 days:6 days"
